State,Population,Firearms
.Alabama,4863300,161641
.Alaska,741894,15824
.Arizona,6931071,179738
.Arkansas,2988248,79841
.California,39250017,344622
.Colorado,5540545,92435
.Connecticut,3576452,82400
.Delaware,952065,4852
.District of Columbia,681170,47228
.Florida,20612439,343288
.Georgia,10310371,19050
.Hawaii,1428557,7859
.Idaho,1683140,49566
.Illinois,12801539,146487
.Indiana,6633053,114019
.Iowa,3134693,28494
.Kansas,2907289,52634
.Kentucky,4436974,81068
.Louisiana,4681666,116831
.Maine,1331479,15371
.Maryland,6016447,103109
.Massachusetts,6811779,37152
.Michigan,9928300,65742
.Minnesota,5519952,79307
.Mississippi,2988726,35494
.Missouri,6093000,72996
.Montana,1042520,22133
.Nebraska,1907116,22234
.Nevada,2940058,76888
.New Hampshire,1334795,64135
.New Jersey,8944469,57507
.New Mexico,2081015,97580
.New York,19745289,76207
.North Carolina,10146788,152238
.North Dakota,757952,13272
.Ohio,11614373,173405
.Oklahoma,3923561,71269
.Oregon,4093465,61383
.Pennsylvania,12784227,236377
.Rhode Island,1056426,4223
.South Carolina,4961119,105601
.South Dakota,865454,21130
.Tennessee,6651194,99159
.Texas,27862596,588696
.Utah,3051217,72856
.Vermont,624594,5872
.Virginia,8411808,307822
.Washington,7288000,91835
.West Virginia,1831102,35264
.Wisconsin,5778708,64878
.Wyoming,585501,132806