Cause of Death,Year,Deaths,Population,Rate,Age-Adjusted Rate
Homicide Firearm,1981,15089,229465316,6.58,6.340121091
Homicide Firearm,1982,13830,231664211,5.97,5.738070512
Homicide Firearm,1983,12040,233792237,5.15,4.923844761
Homicide Firearm,1984,11815,235825040,5.01,4.76451064
Homicide Firearm,1985,11836,237924038,4.97,4.70603654
Homicide Firearm,1986,13029,240133048,5.43,5.054626305
Homicide Firearm,1987,12657,242289046,5.22,4.868567942
Homicide Firearm,1988,13645,244499040,5.58,5.181696575
Homicide Firearm,1989,14464,246819195,5.86,5.48379991
Homicide Firearm,1990,16218,249464396,6.5,6.108584017
Homicide Firearm,1991,17746,252980942,7.01,6.637593796
Homicide Firearm,1992,17488,256514231,6.82,6.504230592
Homicide Firearm,1993,18253,259918595,7.02,6.753049667
Homicide Firearm,1994,17527,263125826,6.66,6.447423372
Homicide Firearm,1995,15551,266278403,5.84,5.686773683
Homicide Firearm,1996,14037,269394291,5.21,5.102872887
Homicide Firearm,1997,13252,272646932,4.86,4.770453117
Homicide Firearm,1998,11798,275854116,4.28,4.206765764
Homicide Firearm,1999,10828,279040238,3.88,3.822590452
Homicide Firearm,2000,10801,282171936,3.83,3.776704241
Homicide Firearm,2001,11348,284968955,3.98,3.93253428
Homicide Firearm,2002,11829,287625193,4.11,4.068085842
Homicide Firearm,2003,11920,290107933,4.11,4.069227374
Homicide Firearm,2004,11624,292805298,3.97,3.938707823
Homicide Firearm,2005,12352,295516599,4.18,4.165910895
Homicide Firearm,2006,12791,298379912,4.29,4.273604276
Homicide Firearm,2007,12632,301231207,4.19,4.204103189
Homicide Firearm,2008,12179,304093966,4.01,4.029036079
Homicide Firearm,2009,11493,306771529,3.75,3.777863605
Homicide Firearm,2010,11078,308747508,3.59,3.621249793
Homicide Firearm,2011,11068,311663358,3.55,3.592311338
Homicide Firearm,2012,11622,313998379,3.7,3.756532974
Homicide Firearm,2013,11208,316204908,3.54,3.602795636
Homicide Firearm,2014,11008,318563456,3.46,3.528151179
Homicide Firearm,2015,12979,320896618,4.04,4.140661803
Homicide Firearm,2016,14415,323127513,4.46,4.598074647