Country,Rate_per_million,Date
South Africa,700.98,2002
Colombia,531.29,2002
Slovakia,438,2002
Thailand,313.99,2002
El Salvador,239.83,2002
Philippines,95.21,2002
Zimbabwe,47.31,2002
Albania,41.37,2002
Uruguay,32.76,2002
United States,32.57,2002
Costa Rica,32,2002
Mexico,24.42,2002
Slovenia,19.55,2002
Czech Republic,17.74,2002
Croatia,17.12,2002
Peru,16.54,2002
Estonia,15.46,2002
Azerbaijan,14.68,2002
Republic of Macedonia,12.53,2002
Latvia,11.97,2002
Switzerland,9.33,2002
Portugal,8.68,2002
Bulgaria,8.01,2002
Sweden,6.5,2002
Bolivia,5.88,2002
Moldova,5.52,2002
Lithuania,4.61,2002
Canada,4.59,2002
Cyprus,4.08,2002
Belarus,3.85,2002
Hungary,3.74,2002
Ukraine,3.59,2002
Germany,3.26,2002
Austria,3.09,2002
Ireland,3.05,2002
Australia,3,2002
Poland,2.9,2002
Denmark,2.6,2002
New Zealand,2.53,2002
Spain,2.35,2002
Chile,0.569,2002
Burma,0.548,2002
Japan,0.369,2002
United Kingdom,0.236,2002
Morocco,0.0341,2002
Luxembourg,0,2002
Iceland,0,2002
Oman,0,2002